article_id,bias_label,n_comments,mean_polarity,std_polarity,pct_positive,pct_negative,mean_anger,mean_joy,mean_fear
1150774350_innovador-banner-reacciona-movimiento-raton,1,1,-0.6536631137132645,,0.0,1.0,0.0017409978900104761,0.0032164216972887516,0.0011262965854257345
1151048715_cuando-habla-cultura-solo-habla-dinero,0,1,-0.49238867312669754,,0.0,1.0,0.026600705459713936,0.004215311259031296,0.010479564778506756
1151927514_youtube-resucita-serie-rechazada-grandes-cadenas-eeuu,0,1,0.6666254084557295,,1.0,0.0,0.001981971086934209,0.7597097158432007,0.0009399206028319895
1152134047_educacion-propone-rectores-eliminar-lista-titulos-universitarios-licenciaturas-duren-4-ano,0,1,-0.05594545044004917,,0.0,0.0,0.0011201485758647323,0.0012781730620190501,0.0007565810810774565
1152177774_canto-loco-bajar-disco-internet-como-robarle-carne-carnicero,1,2,-0.5314477373613045,0.6114503344713458,0.0,0.5,0.3650478860945441,0.0025444336934015155,0.0010626898365444504
1152209584_paris-oui-al-wifi-gratuito,1,1,-0.9624167447909713,,0.0,1.0,0.8146044611930847,0.000611164839938283,0.003397049382328987
1152357092_echan-presentadora-presuntamente-borracha-lasexta-galego,0,1,-0.08505761250853539,,0.0,0.0,0.001007207902148366,0.003597932169213891,0.0005612121312879026
1152404893_que-no-cuentan-visita-del-papa,1,1,-0.8328770631924272,,0.0,1.0,0.19403076171875,0.005822943057864904,0.0016653842758387327
1152873549_israel-bombardea-tercera-vez-aeropuerto-beirut,1,1,-0.8372062491253018,,0.0,1.0,0.7917025685310364,0.0010379926534369588,0.016084933653473854
1153128556_mensaje-del-pp-es-mensaje-eta,1,1,-0.9557661267463118,,0.0,1.0,0.01218183059245348,0.0008958967518992722,0.003924007993191481
1153265935_proceso-desarrollo-aplicacion-informatica,0,1,-0.9178156079724431,,0.0,1.0,0.9331606030464172,0.0006195223540998995,0.0009240544750355184
1153385430_juez-insta-equipo-marbella-investigar-cuentas-suiza-fraude-terra-mitica,1,1,-0.6655242443084717,,0.0,1.0,0.32165035605430603,0.017318595200777054,0.0042373486794531345
1154045293_partido-pirata-espanol-ya-tiene-nombre-oficial,1,2,-0.10560409538447857,1.1695343665659623,0.5,0.5,0.04742208984680474,0.0020241037709638476,0.00047620426630601287
1154514612_cervezas-siempre-frescas-gracias-sol,1,1,-0.34671422839164734,,0.0,0.0,0.004364835564047098,0.0012922459281980991,0.0004485214885789901
1154690754_ley-davsi-finalmente-aprobada,0,1,-0.2826489210128784,,0.0,0.0,0.1886320561170578,0.004393490497022867,0.007167923264205456
1154899089_curiosidades-dominio-polemico-www.ie7.com,0,2,-0.12818017415702343,0.24482859584839176,0.0,0.0,0.004069042537594214,0.030282322273706086,0.007030624081380665
1154941840_que-algunos-nombres-empresas,0,2,-0.10850045643746853,0.06394530656202774,0.0,0.0,0.002434535592328757,0.002581384964287281,0.0008329714619321749
1155537604_matrimonio-gates-critica-duramente-doctrina-vaticano-respecto-sida,0,1,0.9569258908741176,,1.0,0.0,0.0004853537830058485,0.9949344992637634,0.00017626780027057976
1155679644_5-elementos-html-probablemente-no-uses-nunca,0,1,0.6709647551178932,,1.0,0.0,0.0009707899880595505,0.02413906157016754,0.0012801425764337182
