article_id,bias_label,n_comments,duration_hours,early_karma_mean,late_karma_mean,karma_drift,early_comment_len,late_comment_len,karma_slope,first_10_hours
1150960774_manipulacion-mala-praxis-estudios-financiados-gobierno,1,12,99.87083333333334,0.0,0.0,0.0,81.0,126.0,0.0,24.793055555555554
1150989137_guru-anti-linux-microsoft-deja-compania,0,10,32.50527777777778,0.0,0.0,0.0,104.0,137.5,0.0,32.50527777777778
1151322254_reparto-tiempo-dedicado-diseno-web,0,14,29.8425,0.0,0.0,0.0,44.333333333333336,215.0,0.0,14.1875
1151391756_gimmie-panel-revolucionario-para-gnome-3.0,0,17,20.08888888888889,0.0,0.0,0.0,192.25,379.0,0.0,1.7469444444444444
1151395682_escarabajo-cristal-tutankamon-vino-espacio-exterior,1,14,7.010277777777778,0.0,0.0,0.0,144.66666666666666,61.0,0.0,1.8641666666666667
1151522476_monarquia-costo-britanicos-54-millones-euros-ultimo-ano,0,12,26.480833333333333,0.0,0.0,0.0,28.333333333333332,396.0,0.0,20.450277777777778
1151915615_que-es-intenet,0,17,25.158333333333335,0.0,0.0,0.0,82.75,223.0,0.0,7.644444444444445
1151964701_nueva-serie-divinos-aparecen-ubuntu-amsn,1,15,11.229444444444445,0.0,0.0,0.0,87.33333333333333,331.0,0.0,1.2902777777777779
1152005893_los-crucifijos-y-las-escuelas,1,16,14.168611111111112,0.0,0.0,0.0,191.0,165.75,0.0,11.9525
1152059812_google-maps-censurado,0,16,30.595833333333335,0.0,0.0,0.0,57.5,74.5,0.0,12.86138888888889
1152081556_parlamento-europeo-condena-franquismo-excepcion-pp-ultraderecha,0,66,14.655555555555555,0.0,0.0,0.0,237.5,326.1875,0.0,2.5861111111111112
1152109103_david-bravo-responde-sobre-cierre-naiadadonkey,1,10,19.081666666666667,0.0,0.0,0.0,66.5,134.5,0.0,19.081666666666667
1152134047_educacion-propone-rectores-eliminar-lista-titulos-universitarios-licenciaturas-duren-4-ano,0,26,18.443055555555556,0.0,0.0,0.0,85.5,360.8333333333333,0.0,0.31222222222222223
1152177774_canto-loco-bajar-disco-internet-como-robarle-carne-carnicero,1,56,28.287777777777777,0.0,0.0,0.0,163.14285714285714,331.0,0.0,0.5922222222222222
1152320914_resumen-pelicula-cazafantasmas-gif,1,10,16.56222222222222,0.0,0.0,0.0,32.5,70.0,0.0,16.56222222222222
1152357092_echan-presentadora-presuntamente-borracha-lasexta-galego,0,18,105.13305555555556,0.0,0.0,0.0,75.25,35.5,0.0,6.601944444444444
1152404893_que-no-cuentan-visita-del-papa,1,49,48.874722222222225,0.0,0.0,0.0,299.25,325.5,0.0,3.7602777777777776
1152521479_caos-inmobiliario-espanol-noticia-europa,1,24,35.93083333333333,0.0,0.0,0.0,67.5,377.5,0.0,5.189166666666667
1152640764_firefox-ya-tiene-16-todos-usuarios-ee.uu-39-alemania,1,14,13.723055555555556,0.0,0.0,0.0,107.33333333333333,118.33333333333333,0.0,2.812222222222222
1152690948_descarrila-metro-chicago-mil-pasajeros-interior,1,10,13.089722222222223,0.0,0.0,0.0,101.0,211.0,0.0,13.089722222222223
1152784836_biblioteca-de-modelos-de-datos,0,10,20.01361111111111,0.0,0.0,0.0,57.0,33.5,0.0,20.01361111111111
1152873549_israel-bombardea-tercera-vez-aeropuerto-beirut,1,42,29.688055555555554,0.0,0.0,0.0,188.2,560.6,0.0,4.4255555555555555
1153113859_piet-lenguaje-programacion-distinto,1,11,27.56888888888889,0.0,0.0,0.0,99.0,127.0,0.0,12.830277777777777
1153128556_mensaje-del-pp-es-mensaje-eta,1,51,60.559444444444445,0.0,0.0,0.0,243.66666666666666,624.8333333333334,0.0,1.523611111111111
