outlet,article_count,bias_rate,avg_bias_prob,avg_score,avg_comments,avg_comment_karma,avg_karma_range,avg_pct_negative_karma,avg_unique_commenters
es.gizmodo.com,92,0.5543478260869565,0.551899890954424,351.7608695652174,63.71739130434783,2.723982913355515,33.94565217391305,0.0,43.57608695652174
es.noticias.yahoo.com,56,0.5535714285714286,0.5494424923214994,518.1607142857143,94.48214285714286,2.836812957285407,36.32142857142857,0.0,37.94642857142857
theguardian.com,35,0.5428571428571428,0.5893772454799286,443.62857142857143,94.88571428571429,3.328492053962749,51.22857142857143,0.0,55.542857142857144
ecodiario.eleconomista.es,84,0.5357142857142857,0.5456075255199158,716.9047619047619,71.97619047619048,4.208929469809481,61.5,0.0,51.76190476190476
actualidad.terra.es,30,0.5333333333333333,0.5745265443382475,357.8333333333333,35.96666666666667,2.59215562629002,20.233333333333334,0.0,27.566666666666666
europapress.es,369,0.5284552845528455,0.5451012966721533,606.5826558265583,87.0650406504065,3.5867734406870606,55.75880758807588,3.400072964298706e-05,53.303523035230356
elboletin.com,74,0.527027027027027,0.5165424622403382,1124.0135135135135,93.41891891891892,3.9290376783328935,67.24324324324324,0.0,61.17567567567568
elsaltodiario.com,34,0.5,0.5126127600567142,677.7647058823529,85.44117647058823,3.0365288931184553,43.11764705882353,0.0,45.411764705882355
marca.com,34,0.5,0.5010935113874867,514.1176470588235,50.970588235294116,2.619022847692533,29.735294117647058,0.0,38.0
actualidad.rt.com,57,0.49122807017543857,0.4979727674671857,566.9298245614035,74.96491228070175,3.1676818565564537,43.64912280701754,0.0,44.80701754385965
alt1040.com,41,0.4878048780487805,0.45249850545419246,597.9512195121952,59.78048780487805,3.0589595772340905,38.707317073170735,0.0,45.09756097560975
nytimes.com,38,0.4473684210526316,0.47687212929227635,454.5263157894737,62.36842105263158,2.9704386662109608,35.63157894736842,0.0,40.21052631578947
microsiervos.com,52,0.40384615384615385,0.44554687029673146,293.1730769230769,49.11538461538461,2.0993389633624453,23.03846153846154,0.0,31.846153846153847
xataka.com,96,0.3958333333333333,0.3894357529388799,341.1145833333333,82.34375,2.4842898916584857,35.802083333333336,0.00023674242424242425,46.333333333333336
hipertextual.com,36,0.3611111111111111,0.3903571006893698,318.3888888888889,72.22222222222223,2.372251761432916,30.11111111111111,0.0,41.916666666666664
lainformacion.com,79,0.35443037974683544,0.376786439949234,492.44303797468353,122.69620253164557,2.8061051286860987,52.835443037974684,0.0,62.89873417721519
expansion.com,41,0.3170731707317073,0.3607770873392682,576.3414634146342,69.02439024390245,3.025034302736516,44.02439024390244,0.0,47.65853658536585
cincodias.com,30,0.3,0.28234283706794183,610.7,54.233333333333334,3.6788526235921215,49.46666666666667,0.0,44.2
eleconomista.es,91,0.26373626373626374,0.29350261804443056,696.9010989010989,90.34065934065934,3.232401003042458,54.89010989010989,0.0,58.73626373626374
genbeta.com,64,0.25,0.3000627660185273,367.921875,80.828125,2.457258322458521,37.328125,0.0,47.15625
adslzone.net,30,0.13333333333333333,0.18250146866776049,465.96666666666664,85.46666666666667,2.4419104998481562,44.4,0.0,52.766666666666666
